NUM,DOWNLOAD_DATE_TIME,START_MRID,BEGIN_DATE_TIME,NUMBER_OF_RECORDS,END_DATE,LAST_MRID
"1","2021-07-12 19:37:20 UTC","1","2019-08-23 15:15:00 UTC","66160","2021-07-12 19:00:00 UTC","66160"
"1","2021-09-15 14:10:14 UTC","66161","2021-06-06 02:15:00 UTC","9742","2021-09-15 13:30:00 UTC","75902"
"1","2022-05-17 18:30:34 UTC","75903","2021-09-15 09:15:00 UTC","2000","2021-10-07 09:15:00 UTC","77979"
"1","2022-05-23 15:04:07 UTC","77980","2021-10-07 09:30:00 UTC","1970","2021-10-27 21:45:00 UTC","79949"
"1","2022-05-23 15:07:27 UTC","79950","2021-10-27 22:00:00 UTC","2000","2021-11-17 17:45:00 UTC","81949"
"1","2022-05-23 15:08:36 UTC","81950","2021-11-17 18:00:00 UTC","1936","2021-12-07 21:45:00 UTC","83885"
"1","2022-05-23 15:25:19 UTC","83886","2021-12-07 22:00:00 UTC","2000","2021-12-28 18:30:00 UTC","85888"
"1","2022-05-23 15:28:35 UTC","85889","2021-12-28 18:45:00 UTC","1933","2022-01-17 21:45:00 UTC","87821"
"1","2022-05-23 15:30:59 UTC","87822","2022-01-17 22:00:00 UTC","2000","2022-02-07 17:45:00 UTC","89821"
"1","2022-05-23 15:34:54 UTC","89822","2022-02-07 18:00:00 UTC","1936","2022-02-27 21:45:00 UTC","91757"
"1","2022-05-23 17:07:41 UTC","91758","2022-02-27 22:00:00 UTC","2000","2022-03-20 17:45:00 UTC","93757"
